Resolution,10 kb,,,25 kb,,,50 kb,,,100 kb,,
Cell Line-Specific Annotation,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance
01ActivePromoter,0,19.22506546,100,0,28.48791045,100,0,35.6256657,100,0,33.9658523,100
02WeakPromoter,0,9.289754566,100,0,9.281255969,100,0,11.37880754,100,0,30.23899517,100
03PoisedPromoter,0,6.738026218,100,0,8.783360687,100,1.152912738,0,100,0,14.89282941,100
04StrongEnhancer,0,6.607784092,100,0,13.29258881,100,0,23.60314878,100,0,28.58842106,100
05StrongEnhancer,0,3.133445235,100,0,4.968607101,100,0,13.3654888,100,0,17.56719488,100
06WeakEnhancer,0,1.971739478,100,0,15.56480967,100,0,18.66441824,100,0,18.70918698,100
07WeakEnhancer,0,2.99811561,100,0,5.94475073,100,0,10.02378389,100,0,25.21925529,100
08Insulator,0,12.05145,100,0,20.72856206,100,0,0.22806273,100,0,25.39476776,100
09TxnTransition,0,11.29420607,100,0,14.98741665,100,0,15.98276216,100,0,8.619613821,100
10TxnElongation,0,39.40205847,100,0,59.26201427,100,0,41.83311808,100,0,26.40892142,100
11WeakTxn,0,44.82197403,100,0,57.80487677,100,0,52.08368147,100,0,48.08568428,100
12Repressed,0,40.65200132,100,0,58.41528347,100,0,27.44742298,100,0,43.1675392,100
13Heterochromlo,0,82.10448335,100,0,69.26147994,100,0,48.13583923,100,0,76.45010415,100
14RepetitiveCNV,0,5.962166913,100,1.112910755,0,100,0,1.228713927,100,0.963995736,0,100
15RepetitiveCNV,0,5.962166913,100,1.112910755,0,100,0,1.228713927,100,0.963995736,0,100
Atf2sc81188,0,5.838332684,100,0,3.790547875,100,0,13.97751029,100,0,18.50780484,100
Atf3,0,0.166633696,100,0.95723912,0,100,0,0.305885856,100,4.835935007,0,100
Batf,0,13.94884641,100,0,17.54209913,100,0,35.66293887,100,0,42.9218916,100
Bcl11a,0,3.953777404,100,0,10.99900928,100,0,14.5531495,100,0,14.87504991,100
Bcl3,1.277345031,0,100,0,1.159995673,100,0,0.981825409,100,0,3.351422666,100
Bclaf101388,0,4.619336617,100,0,2.402890742,100,0,3.545361806,100,0,11.98008784,100
Bhlhe40c,2.150622445,0,100,0,1.80531309,100,0,7.767069,100,0,10.03737153,100
Brca1a300,0,0.423517989,100,0,1.292787926,100,0,2.366550602,100,0,1.576521282,100
Cebpbsc150,0,0.14484651,100,2.246358943,0,100,2.460511198,0,100,0,1.616454031,100
Cfos,0,2.656227704,100,0,3.711422946,100,0,2.131297954,100,0,7.064907596,100
Chd1a301218a,0,3.846444084,100,4.728256219,0,100,0,8.207647616,100,2.273098165,0,100
Chd2ab68301,0,2.637565612,100,0.239494892,0,100,0,0.450899915,100,0.097243331,0,100
Cmyc,0,0.744656674,100,0,2.207801595,100,0,9.640222706,100,4.105251068,0,100
Corestsc30189,0.637308955,0,100,0,0.07970355,100,0,0.06323843,100,0,0.083823698,100
