,,,Predictor Type,,,
Cell Line,Resolution,Re-Sampling Technique,OC,OP,Distance,All
GM12878,10 kb,None,0.209071289,0.202203296,0.431067273,0.358346009
GM12878,10 kb,RUS,0.203002105,0.201941818,0.351418306,0.318748025
GM12878,10 kb,ROS,0.175352092,0.1733133,0.470497003,0.38563319
GM12878,10 kb,SMOTE,0.193835248,0.193455208,0.352010156,0.30466302
GM12878,10 kb,ROSE,0.171105893,0.173831217,0.267743009,0.171961583
GM12878,25 kb,None,0.231343098,0.239691119,0.436290494,0.380289432
GM12878,25 kb,RUS,0.220534672,0.238701838,0.370558563,0.325929584
GM12878,25 kb,ROS,0.200212538,0.207956932,0.479780908,0.397968149
GM12878,25 kb,SMOTE,0.227505581,0.233074397,0.368876593,0.300036233
GM12878,25 kb,ROSE,0.199532288,0.215374419,0.270337432,0.223909607
GM12878,50 kb,None,0.211610557,0.218082847,0.405318446,0.367031921
GM12878,50 kb,RUS,0.20396302,0.216108253,0.337668222,0.317177402
GM12878,50 kb,ROS,0.180464315,0.186275226,0.447613401,0.412341073
GM12878,50 kb,SMOTE,0.203097908,0.216833378,0.359542123,0.294988683
GM12878,50 kb,ROSE,0.216463849,0.203741212,0.240045824,0.202194215
GM12878,100 kb,None,0.175315747,0.15586914,0.360941816,0.301889475
GM12878,100 kb,RUS,0.194288319,0.166541227,0.309642464,0.286834782
GM12878,100 kb,ROS,0.14927976,0.163511992,0.43811962,0.370130614
GM12878,100 kb,SMOTE,0.168248644,0.161182248,0.40907975,0.313871721
GM12878,100 kb,ROSE,0.181704662,0.154619382,0.187922738,0.17434171
K562,10 kb,None,0.242804047,0.259895374,0.456346658,0.380193553
K562,10 kb,RUS,0.232057689,0.228842176,0.372956865,0.348216208
K562,10 kb,ROS,0.184015101,0.186350821,0.484741118,0.393087496
K562,10 kb,SMOTE,0.247393238,0.250382259,0.375706189,0.338461965
K562,10 kb,ROSE,0.072759858,0.083885567,0.262712039,0.218298013
K562,25 kb,None,0.254974805,0.267170748,0.422212391,0.356877945
K562,25 kb,RUS,0.280578778,0.290031901,0.371425747,0.344980913
K562,25 kb,ROS,0.229037703,0.254813808,0.455572419,0.386044089
K562,25 kb,SMOTE,0.28564196,0.310528104,0.348862984,0.324950009
K562,25 kb,ROSE,0.199704162,0.206659358,0.257446464,0.228212793
K562,50 kb,None,0.202237357,0.210470395,0.28463498,0.262175644
K562,50 kb,RUS,0.201896851,0.220257794,0.311547662,0.294543942
K562,50 kb,ROS,0.191256808,0.204692552,0.376870509,0.335790941
K562,50 kb,SMOTE,0.216226305,0.252684436,0.284860167,0.280170407
K562,50 kb,ROSE,0.218088544,0.217580598,0.248443459,0.241479705
K562,100 kb,None,0.161450256,0.162143098,0.28548623,0.26663545
K562,100 kb,RUS,0.179643075,0.174276495,0.248114494,0.224906828
K562,100 kb,ROS,0.156887072,0.159586057,0.330057316,0.280934068
K562,100 kb,SMOTE,0.157836968,0.157552511,0.228365948,0.202285177
K562,100 kb,ROSE,0.184080555,0.182237956,0.197982573,0.218916812
