"","CellLine","Resolution","Resampling","PredictorType","Metric","Performance"
"1","GM12878","10 kb","None","OC","TN",6006
"2","GM12878","10 kb","None","OC","FN",734
"3","GM12878","10 kb","None","OC","FP",11
"4","GM12878","10 kb","None","OC","TP",7
"5","GM12878","10 kb","None","OC","Total",6758
"6","GM12878","10 kb","None","OC","Sensitivity",0.009
"7","GM12878","10 kb","None","OC","Specificity",0.998
"8","GM12878","10 kb","None","OC","Kappa",0.013
"9","GM12878","10 kb","None","OC","Accuracy",0.89
"10","GM12878","10 kb","None","OC","Precision",0.389
"11","GM12878","10 kb","None","OC","FPR",0.002
"12","GM12878","10 kb","None","OC","FNR",0.109
"13","GM12878","10 kb","None","OC","FOR",0.109
"14","GM12878","10 kb","None","OC","NPV",0.891
"15","GM12878","10 kb","None","OC","MCC",0.046
"16","GM12878","10 kb","None","OC","F1",0.018
"17","GM12878","10 kb","None","OC","AUC",0.651
"18","GM12878","10 kb","None","OC","Youden",0.008
"19","GM12878","10 kb","None","OC","AUPRC",0.206
"20","GM12878","10 kb","None","OP","TN",6005
"21","GM12878","10 kb","None","OP","FN",738
"22","GM12878","10 kb","None","OP","FP",12
"23","GM12878","10 kb","None","OP","TP",3
"24","GM12878","10 kb","None","OP","Total",6758
"25","GM12878","10 kb","None","OP","Sensitivity",0.004
"26","GM12878","10 kb","None","OP","Specificity",0.998
"27","GM12878","10 kb","None","OP","Kappa",0.004
"28","GM12878","10 kb","None","OP","Accuracy",0.889
"29","GM12878","10 kb","None","OP","Precision",0.2
"30","GM12878","10 kb","None","OP","FPR",0.002
"31","GM12878","10 kb","None","OP","FNR",0.109
"32","GM12878","10 kb","None","OP","FOR",0.109
"33","GM12878","10 kb","None","OP","NPV",0.891
"34","GM12878","10 kb","None","OP","MCC",0.014
"35","GM12878","10 kb","None","OP","F1",0.008
"36","GM12878","10 kb","None","OP","AUC",0.659
"37","GM12878","10 kb","None","OP","Youden",0.002
"38","GM12878","10 kb","None","OP","AUPRC",0.202
"39","GM12878","10 kb","None","Distance","TN",6001
"40","GM12878","10 kb","None","Distance","FN",695
"41","GM12878","10 kb","None","Distance","FP",16
"42","GM12878","10 kb","None","Distance","TP",46
"43","GM12878","10 kb","None","Distance","Total",6758
"44","GM12878","10 kb","None","Distance","Sensitivity",0.062
"45","GM12878","10 kb","None","Distance","Specificity",0.997
"46","GM12878","10 kb","None","Distance","Kappa",0.099
"47","GM12878","10 kb","None","Distance","Accuracy",0.895
"48","GM12878","10 kb","None","Distance","Precision",0.742
"49","GM12878","10 kb","None","Distance","FPR",0.003
"50","GM12878","10 kb","None","Distance","FNR",0.104
"51","GM12878","10 kb","None","Distance","FOR",0.104
"52","GM12878","10 kb","None","Distance","NPV",0.896
"53","GM12878","10 kb","None","Distance","MCC",0.195
"54","GM12878","10 kb","None","Distance","F1",0.115
"55","GM12878","10 kb","None","Distance","AUC",0.848
"56","GM12878","10 kb","None","Distance","Youden",0.059
"57","GM12878","10 kb","None","Distance","AUPRC",0.425
"58","GM12878","25 kb","None","OC","TN",2304
"59","GM12878","25 kb","None","OC","FN",383
"60","GM12878","25 kb","None","OC","FP",14
"61","GM12878","25 kb","None","OC","TP",12
"62","GM12878","25 kb","None","OC","Total",2713
"63","GM12878","25 kb","None","OC","Sensitivity",0.03
"64","GM12878","25 kb","None","OC","Specificity",0.994
"65","GM12878","25 kb","None","OC","Kappa",0.04
"66","GM12878","25 kb","None","OC","Accuracy",0.854
