Resolution,10 kb,,,25 kb,,,50 kb,,,100 kb,,
Predictor Type,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance
TN,5965,5997,6011,2297,2213,2307,1161,1095,1164,590,535,593
FN,714,735,721,383,379,388,199,184,197,87,89,87
FP,52,20,6,21,105,11,3,69,0,6,57,3
TP,27,6,20,12,16,7,0,15,2,1,3,1
Total,6758,6758,6758,2713,2713,2713,1363,1363,1363,684,684,684
Sensitivity,0.036,0.008,0.027,0.03,0.041,0.018,0,0.075,0.01,0.011,0.033,0.011
Specificity,0.991,0.997,0.999,0.991,0.955,0.995,0.997,0.941,1,0.99,0.904,0.995
Kappa,0.046,0.008,0.045,0.034,-0.007,0.021,-0.004,0.021,0.017,0.002,-0.075,0.011
Accuracy,0.887,0.888,0.892,0.851,0.822,0.853,0.852,0.814,0.855,0.864,0.787,0.868
Precision,0.342,0.231,0.769,0.364,0.132,0.389,0,0.179,1,0.143,0.05,0.25
FPR,0.009,0.003,0.001,0.009,0.045,0.005,0.003,0.059,0,0.01,0.096,0.005
FNR,0.107,0.109,0.107,0.143,0.146,0.144,0.146,0.144,0.145,0.129,0.143,0.128
FOR,0.107,0.109,0.107,0.143,0.146,0.144,0.146,0.144,0.145,0.129,0.143,0.128
NPV,0.893,0.891,0.893,0.857,0.854,0.856,0.854,0.856,0.855,0.871,0.857,0.872
MCC,0.081,0.024,0.131,0.069,-0.008,0.056,-0.019,0.024,0.093,0.004,-0.077,0.028
F1,0.066,0.016,0.052,0.056,0.062,0.034,NA,0.106,0.02,0.021,0.039,0.022
AUC,0.606,0.547,0.809,0.571,0.523,0.799,0.573,0.48,0.696,0.565,0.549,0.66
Youden,0.028,0.005,0.026,0.021,-0.005,0.013,-0.003,0.016,0.01,0.001,-0.064,0.006
