,,Predictor type,Signal,,,,,OC,,,,,OP,,,,,Distance,,,,
Cell line,Resoution,Re-sampling,Accuracy,AUC,Precision,F1-Score,AUPRC,Accuracy,AUC,Precision,F1-Score,AUPRC,Accuracy,AUC,Precision,F1-Score,AUPRC,Accuracy,AUC,Precision,F1-Score,AUPRC
GM12878,5 kb,None,,,,,,,,,,,,,,,,,,,,
GM12878,5 kb,ROS,,,,,,,,,,,,,,,,,,,,
GM12878,5 kb,RUS,,,,,,,,,,,,,,,,,,,,
GM12878,5 kb,SMOTE,,,,,,,,,,,,,,,,,,,,
GM12878,10 kb,None,,,,,,,,,,,,,,,,,,,,
GM12878,10 kb,ROS,,,,,,,,,,,,,,,,,,,,
GM12878,10 kb,RUS,,,,,,,,,,,,,,,,,,,,
GM12878,10 kb,SMOTE,,,,,,,,,,,,,,,,,,,,
GM12878,25 kb,None,,,,,,,,,,,,,,,,,,,,
GM12878,25 kb,ROS,,,,,,,,,,,,,,,,,,,,
GM12878,25 kb,RUS,,,,,,,,,,,,,,,,,,,,
GM12878,25 kb,SMOTE,,,,,,,,,,,,,,,,,,,,
GM12878,50 kb,None,,,,,,,,,,,,,,,,,,,,
GM12878,50 kb,ROS,,,,,,,,,,,,,,,,,,,,
GM12878,50 kb,RUS,,,,,,,,,,,,,,,,,,,,
GM12878,50 kb,SMOTE,,,,,,,,,,,,,,,,,,,,
GM12878,100 kb,None,,,,,,,,,,,,,,,,,,,,
GM12878,100 kb,ROS,,,,,,,,,,,,,,,,,,,,
GM12878,100 kb,RUS,,,,,,,,,,,,,,,,,,,,
GM12878,100 kb,SMOTE,,,,,,,,,,,,,,,,,,,,
K562,5 kb,None,,,,,,,,,,,,,,,,,,,,
K562,5 kb,ROS,,,,,,,,,,,,,,,,,,,,
K562,5 kb,RUS,,,,,,,,,,,,,,,,,,,,
K562,5 kb,SMOTE,,,,,,,,,,,,,,,,,,,,
K562,10 kb,None,,,,,,,,,,,,,,,,,,,,
K562,10 kb,ROS,,,,,,,,,,,,,,,,,,,,
K562,10 kb,RUS,,,,,,,,,,,,,,,,,,,,
K562,10 kb,SMOTE,,,,,,,,,,,,,,,,,,,,
K562,25 kb,None,,,,,,,,,,,,,,,,,,,,
K562,25 kb,ROS,,,,,,,,,,,,,,,,,,,,
K562,25 kb,RUS,,,,,,,,,,,,,,,,,,,,
K562,25 kb,SMOTE,,,,,,,,,,,,,,,,,,,,
K562,50 kb,None,,,,,,,,,,,,,,,,,,,,
K562,50 kb,ROS,,,,,,,,,,,,,,,,,,,,
K562,50 kb,RUS,,,,,,,,,,,,,,,,,,,,
K562,50 kb,SMOTE,,,,,,,,,,,,,,,,,,,,
K562,100 kb,None,,,,,,,,,,,,,,,,,,,,
K562,100 kb,ROS,,,,,,,,,,,,,,,,,,,,
K562,100 kb,RUS,,,,,,,,,,,,,,,,,,,,
K562,100 kb,SMOTE,,,,,,,,,,,,,,,,,,,,
