Resolution,10 kb,,,25 kb,,,50 kb,,,100 kb,,
Predictor Type,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance
TN,4303.02,3716.18,3973.54,1539.36,1783.24,1483.26,622.52,593.18,688.02,328.3,339.78,349.66
FN,376.44,350.74,176.12,204.28,286.18,94.38,83.58,97.28,60.18,37.94,49.56,29.74
FP,1713.98,2300.82,2043.46,778.64,534.76,834.74,541.48,570.82,475.98,267.7,252.22,246.34
TP,364.56,390.26,564.88,190.72,108.82,300.62,115.42,101.72,138.82,50.06,42.44,58.26
Total,6758,6758,6758,2713,2713,2713,1363,1363,1363,684,684,684
Sensitivity,0.492,0.527,0.762,0.483,0.275,0.761,0.58,0.511,0.698,0.569,0.461,0.662
Specificity,0.715,0.618,0.66,0.664,0.769,0.64,0.535,0.51,0.591,0.551,0.574,0.587
Kappa,0.116,0.067,0.201,0.092,0.036,0.226,0.059,0.009,0.155,0.057,0.019,0.121
Accuracy,0.691,0.608,0.672,0.638,0.697,0.658,0.541,0.51,0.607,0.553,0.559,0.596
Precision,0.175,0.145,0.217,0.197,0.169,0.265,0.176,0.151,0.226,0.158,0.145,0.191
FPR,0.285,0.382,0.34,0.336,0.231,0.36,0.465,0.49,0.409,0.449,0.426,0.413
FNR,0.08,0.086,0.042,0.117,0.138,0.06,0.118,0.139,0.08,0.104,0.128,0.078
FOR,0.08,0.086,0.042,0.117,0.138,0.06,0.118,0.139,0.08,0.104,0.128,0.078
NPV,0.92,0.914,0.958,0.883,0.862,0.94,0.882,0.861,0.92,0.896,0.872,0.922
MCC,0.14,0.092,0.271,0.108,0.037,0.287,0.081,0.015,0.205,0.08,0.025,0.168
F1,0.259,0.227,0.337,0.28,0.209,0.393,0.27,0.227,0.341,0.247,0.219,0.297
AUC,0.637,0.584,0.781,0.589,0.529,0.765,0.576,0.519,0.694,0.582,0.52,0.668
Youden,0.207,0.144,0.423,0.147,0.045,0.401,0.115,0.021,0.289,0.12,0.035,0.249
