(A),Resolution,,,
Genomic Annotation,10 kb,25 kb,50 kb,100 kb
Smc3ab9263,1,2,2,30
Znf143166181ap,2,1,1,9
Ctcf,3,4,12,4
Rad21,4,3,3,8
08Insulator,5,5,10,7
Ctcfsc15914c20,6,83,15,6
Yy1sc281,7,107,81,80
DNase,8,33,19,35
13Heterochromlo,9,9,55,39
Elf1sc631,10,42,76,97
H3k79me2,11,51,69,77
11WeakTxn,12,41,60,46
12Repressed,13,34,35,54
H3k27me3,14,86,11,41
09TxnTransition,15,19,82,48
Corestsc30189,16,28,8,40
H2az,17,10,31,32
Brca1a300,18,52,23,17
05StrongEnhancer,19,8,36,36
15RepetitiveCNV,20,13,6,3
,,,,
(B),Resolution,,,
Genomic Annotation,10 kb,25 kb,50 kb,100 kb
Smc3ab9263,1,1,1,9
Rad21,2,3,2,17
Ctcfc,3,2,4,4
Znf143,4,4,3,6
Ctcf,5,126,106,114
Ctcfb,6,5,107,1
08Insulator,7,6,5,2
Mazab85725,8,8,70,84
DNase,9,10,108,19
H3k4me1,10,131,118,34
11WeakTxn,11,12,93,7
Bhlhe40nb100,12,96,99,83
Tead4sc101184,13,20,136,20
Corestsc30189,14,69,75,103
Jund,15,134,72,88
Max,16,79,123,123
10TxnElongation,17,41,40,110
Nr2f2sc271940,18,90,91,125
Cbx3sc101004,19,123,100,95
H3k27me3,20,39,43,26
