Resolution,10 kb,,,25 kb,,,50 kb,,,100 kb,,
Cell Line-Specific Annotation,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance
01ActivePromoter,0,2.868412908,100,0,20.12618947,100,15.60536261,0,100,0,34.72532911,100
02WeakPromoter,13.03620207,0,100,3.982837693,0,100,6.046753774,0,100,0,13.84377161,100
03PoisedPromoter,0,2.587900008,100,0,1.913091696,100,0,4.679340194,100,0,16.13362327,100
04StrongEnhancer,2.584004987,0,100,0,15.15133654,100,0,13.46156003,100,0,27.01665269,100
05StrongEnhancer,15.73618042,0,100,0,11.82293781,100,0,15.85428846,100,0,12.42226598,100
06WeakEnhancer,18.01597515,0,100,14.88123178,0,100,0,6.63052302,100,0,15.95647617,100
07WeakEnhancer,10.71767239,0,100,0,14.92925678,100,0,30.16167768,100,0,28.8427251,100
08Insulator,0,2.856570961,100,0,18.80868391,100,0,45.13385432,100,0,17.31644893,100
09TxnTransition,0,11.11074577,100,0,23.03781643,100,0,6.498740036,100,0,19.97456508,100
10TxnElongation,0,17.00246103,100,0,42.73848,100,0,33.48072431,100,0,31.84199033,100
11WeakTxn,0,6.220012195,100,0,36.00038482,100,0,70.70602656,100,0,52.07224529,100
12Repressed,0,12.78653502,100,0,49.70970113,100,0,44.65916169,100,0,47.44693084,100
13Heterochromlo,0,100,56.04989943,0,90.93180922,100,0,78.64527539,100,0,54.11785647,100
14RepetitiveCNV,100,22.50484891,0,0,4.604272373,100,47.54023326,0,100,0,31.28105317,100
15RepetitiveCNV,0,3.112913615,100,0,0.421147445,100,2.863978424,0,100,12.19821911,0,100
Arid3asc8821,11.72560944,0,100,0,2.302021862,100,5.946819933,0,100,0,4.984952387,100
Atf106325,0,10.35388938,100,1.020345038,0,100,5.013027987,0,100,9.468379569,0,100
Atf3,6.036077383,0,100,0,11.94736393,100,23.48974666,0,100,0,11.33869659,100
