Resampling Technique,SMOTE,,,,,,,,,,,,Random Over-Sampling,,,,,,,,,,,
Resolution,10 kb,,,25 kb,,,50 kb,,,100 kb,,,10 kb,,,25 kb,,,50 kb,,,100 kb,,
Predictor Type,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance,OC,OP,Distance
TN,4767.42,3764.56,4406.2,1783.86,1802.66,1681.78,858.36,622.22,816.8,447.46,432.42,4767.42,4899.84,4009.4,5949.86,1980.8,1980.5,2271.84,1069.16,781.72,1155.76,569.88,532.04,593.44
FN,449.5,362.02,227.34,257.56,290.96,123.08,125.92,103.04,81.78,57.46,43.38,449.5,480.28,414.68,677.18,309.7,334.96,333.3,185.82,126.72,190.66,81.46,88,86.02
FP,1249.58,2252.44,1610.8,534.14,515.34,636.22,305.64,541.78,347.2,148.54,163.58,1249.58,1117.16,2007.6,67.14,337.2,337.5,46.16,94.84,382.28,8.24,26.12,59.96,2.56
TP,291.5,378.98,513.66,137.44,104.04,271.92,73.08,95.96,117.22,30.54,44.62,291.5,260.72,326.32,63.82,85.3,60.04,61.7,13.18,72.28,8.34,6.54,4,1.98
Total,6758,6758,6758,2713,2713,2713,1363,1363,1363,684,684,6758,6758,6758,6758,2713,2713,2713,1363,1363,1363,684,684,684
Sensitivity,0.393,0.511,0.693,0.348,0.263,0.688,0.367,0.482,0.589,0.347,0.507,0.393,0.352,0.44,0.086,0.216,0.152,0.156,0.066,0.363,0.042,0.074,0.043,0.022
Specificity,0.792,0.626,0.732,0.77,0.778,0.726,0.737,0.535,0.702,0.751,0.726,0.792,0.814,0.666,0.989,0.855,0.854,0.98,0.919,0.672,0.993,0.956,0.899,0.996
Kappa,0.126,0.065,0.234,0.091,0.033,0.269,0.076,0.006,0.187,0.068,0.147,0.126,0.121,0.055,0.117,0.068,0.006,0.195,-0.019,0.019,0.056,0.041,-0.066,0.03
Accuracy,0.749,0.613,0.728,0.708,0.703,0.72,0.683,0.527,0.685,0.699,0.697,0.749,0.764,0.642,0.89,0.762,0.752,0.86,0.794,0.627,0.854,0.843,0.784,0.87
Precision,0.189,0.144,0.242,0.205,0.168,0.3,0.193,0.148,0.253,0.171,0.214,0.189,0.189,0.14,0.487,0.202,0.151,0.572,0.122,0.156,0.5,0.199,0.063,0.453
FPR,0.208,0.374,0.268,0.23,0.222,0.274,0.263,0.465,0.298,0.249,0.274,0.208,0.186,0.334,0.011,0.145,0.146,0.02,0.081,0.328,0.007,0.044,0.101,0.004
FNR,0.086,0.088,0.049,0.126,0.139,0.068,0.128,0.14,0.091,0.114,0.091,0.086,0.089,0.094,0.102,0.135,0.145,0.128,0.148,0.138,0.142,0.125,0.142,0.127
FOR,0.086,0.088,0.049,0.126,0.139,0.068,0.128,0.14,0.091,0.114,0.091,0.086,0.089,0.094,0.102,0.135,0.145,0.128,0.148,0.138,0.142,0.125,0.142,0.127
NPV,0.914,0.912,0.951,0.874,0.861,0.932,0.872,0.86,0.909,0.886,0.909,0.914,0.911,0.906,0.898,0.865,0.855,0.872,0.852,0.862,0.858,0.875,0.858,0.873
MCC,0.138,0.088,0.286,0.096,0.035,0.309,0.083,0.012,0.217,0.075,0.169,0.138,0.129,0.07,0.17,0.069,0.006,0.246,-0.02,0.025,0.111,0.048,-0.068,0.076
F1,0.255,0.225,0.359,0.258,0.205,0.417,0.253,0.22,0.353,0.228,0.301,0.255,0.246,0.212,0.146,0.209,0.152,0.245,0.086,0.201,0.077,0.108,0.051,
AUC,0.638,0.582,0.791,0.587,0.529,0.777,0.576,0.516,0.702,0.583,0.68,0.638,0.635,0.577,0.83,0.585,0.526,0.83,0.553,0.518,0.735,0.557,0.527,0.715
Youden,0.186,0.137,0.425,0.118,0.041,0.414,0.105,0.017,0.291,0.098,0.233,0.186,0.166,0.107,0.075,0.07,0.006,0.136,-0.015,0.035,0.035,0.03,-0.058,0.018
