Resolution,Resampling Technique,Predictor Type,Metric,Average Performance,SD Performance
10kb,None,OC,Sensitivity,0.009,0.007
10kb,None,OC,Specificity,0.998,0.001
10kb,None,OC,Accuracy,0.895,0.013
10kb,None,OC,Precision,0.41,0.272
10kb,None,OC,MCC,0.047,0.034
10kb,None,OC,F1,0.021,0.011
10kb,None,OC,AUC,0.669,0.026
10kb,None,OC,AUPRC,0.215,0.02
10kb,None,OP,Sensitivity,0.009,0.008
10kb,None,OP,Specificity,0.999,0.001
10kb,None,OP,Accuracy,0.896,0.013
10kb,None,OP,Precision,0.524,0.228
10kb,None,OP,MCC,0.056,0.03
10kb,None,OP,F1,0.02,0.014
10kb,None,OP,AUC,0.682,0.029
10kb,None,OP,AUPRC,0.22,0.023
10kb,None,Distance,Sensitivity,0.078,0.024
10kb,None,Distance,Specificity,0.994,0.003
10kb,None,Distance,Accuracy,0.898,0.013
10kb,None,Distance,Precision,0.586,0.093
10kb,None,Distance,MCC,0.185,0.041
10kb,None,Distance,F1,0.136,0.039
10kb,None,Distance,AUC,0.876,0.026
10kb,None,Distance,AUPRC,0.438,0.05
10kb,ROS,OC,Sensitivity,0.23,0.06
10kb,ROS,OC,Specificity,0.877,0.028
10kb,ROS,OC,Accuracy,0.809,0.02
10kb,ROS,OC,Precision,0.177,0.017
10kb,ROS,OC,MCC,0.094,0.026
10kb,ROS,OC,F1,0.196,0.027
10kb,ROS,OC,AUC,0.666,0.026
10kb,ROS,OC,AUPRC,0.163,0.014
10kb,ROS,OP,Sensitivity,0.146,0.046
10kb,ROS,OP,Specificity,0.923,0.022
10kb,ROS,OP,Accuracy,0.841,0.015
10kb,ROS,OP,Precision,0.182,0.04
10kb,ROS,OP,MCC,0.075,0.033
10kb,ROS,OP,F1,0.156,0.032
10kb,ROS,OP,AUC,0.663,0.026
10kb,ROS,OP,AUPRC,0.162,0.015
10kb,ROS,Distance,Sensitivity,0.258,0.066
10kb,ROS,Distance,Specificity,0.979,0.005
10kb,ROS,Distance,Accuracy,0.904,0.014
10kb,ROS,Distance,Precision,0.59,0.043
10kb,ROS,Distance,MCC,0.345,0.055
10kb,ROS,Distance,F1,0.355,0.064
10kb,ROS,Distance,AUC,0.899,0.019
10kb,ROS,Distance,AUPRC,0.5,0.036
10kb,RUS,OC,Sensitivity,0.591,0.048
10kb,RUS,OC,Specificity,0.68,0.043
10kb,RUS,OC,Accuracy,0.671,0.036
10kb,RUS,OC,Precision,0.178,0.018
10kb,RUS,OC,MCC,0.174,0.026
10kb,RUS,OC,F1,0.272,0.021
10kb,RUS,OC,AUC,0.687,0.032
10kb,RUS,OC,AUPRC,0.2,0.024
10kb,RUS,OP,Sensitivity,0.619,0.044
10kb,RUS,OP,Specificity,0.658,0.037
10kb,RUS,OP,Accuracy,0.654,0.032
10kb,RUS,OP,Precision,0.175,0.019
10kb,RUS,OP,MCC,0.175,0.028
10kb,RUS,OP,F1,0.271,0.023
10kb,RUS,OP,AUC,0.687,0.029
10kb,RUS,OP,AUPRC,0.2,0.022
10kb,RUS,Distance,Sensitivity,0.814,0.069
10kb,RUS,Distance,Specificity,0.684,0.037
10kb,RUS,Distance,Accuracy,0.698,0.037
10kb,RUS,Distance,Precision,0.231,0.022
10kb,RUS,Distance,MCC,0.315,0.057
10kb,RUS,Distance,F1,0.36,0.033
10kb,RUS,Distance,AUC,0.817,0.051
10kb,RUS,Distance,AUPRC,0.321,0.062
10kb,SMOTE,OC,Sensitivity,0.443,0.061
10kb,SMOTE,OC,Specificity,0.801,0.043
10kb,SMOTE,OC,Accuracy,0.763,0.034
10kb,SMOTE,OC,Precision,0.208,0.028
10kb,SMOTE,OC,MCC,0.179,0.03
10kb,SMOTE,OC,F1,0.28,0.022
10kb,SMOTE,OC,AUC,0.686,0.03
10kb,SMOTE,OC,AUPRC,0.197,0.029
10kb,SMOTE,OP,Sensitivity,0.495,0.056
10kb,SMOTE,OP,Specificity,0.763,0.041
10kb,SMOTE,OP,Accuracy,0.735,0.032
10kb,SMOTE,OP,Precision,0.198,0.027
10kb,SMOTE,OP,MCC,0.18,0.024
