Resolution,Resampling,Predictor,Metric,AvePerf,SDPerf
10kb,None,OC,Sensitivity,0.012,0.009
10kb,None,OC,Specificity,0.999,0.002
10kb,None,OC,Accuracy,0.916,0.019
10kb,None,OC,Precision,0.551,0.301
10kb,None,OC,MCC,0.066,0.04
10kb,None,OC,F1,0.025,0.015
10kb,None,OC,AUC,0.723,0.036
10kb,None,OC,AUPRC,0.215,0.03
10kb,None,OP,Sensitivity,0.008,0.007
10kb,None,OP,Specificity,0.999,0.001
10kb,None,OP,Accuracy,0.916,0.018
10kb,None,OP,Precision,0.515,0.286
10kb,None,OP,MCC,0.053,0.038
10kb,None,OP,F1,0.018,0.014
10kb,None,OP,AUC,0.737,0.038
10kb,None,OP,AUPRC,0.216,0.025
10kb,None,Distance,Sensitivity,0.062,0.03
10kb,None,Distance,Specificity,0.996,0.002
10kb,None,Distance,Accuracy,0.918,0.019
10kb,None,Distance,Precision,0.587,0.125
10kb,None,Distance,MCC,0.168,0.058
10kb,None,Distance,F1,0.11,0.049
10kb,None,Distance,AUC,0.891,0.034
10kb,None,Distance,AUPRC,0.413,0.059
10kb,ROS,OC,Sensitivity,0.212,0.08
10kb,ROS,OC,Specificity,0.907,0.026
10kb,ROS,OC,Accuracy,0.848,0.017
10kb,ROS,OC,Precision,0.165,0.035
10kb,ROS,OC,MCC,0.103,0.046
10kb,ROS,OC,F1,0.178,0.042
10kb,ROS,OC,AUC,0.715,0.037
10kb,ROS,OC,AUPRC,0.154,0.02
10kb,ROS,OP,Sensitivity,0.107,0.038
10kb,ROS,OP,Specificity,0.956,0.014
10kb,ROS,OP,Accuracy,0.885,0.017
10kb,ROS,OP,Precision,0.182,0.037
10kb,ROS,OP,MCC,0.08,0.026
10kb,ROS,OP,F1,0.129,0.028
10kb,ROS,OP,AUC,0.716,0.034
10kb,ROS,OP,AUPRC,0.156,0.022
10kb,ROS,Distance,Sensitivity,0.238,0.071
10kb,ROS,Distance,Specificity,0.983,0.005
10kb,ROS,Distance,Accuracy,0.921,0.018
10kb,ROS,Distance,Precision,0.562,0.049
10kb,ROS,Distance,MCC,0.328,0.058
10kb,ROS,Distance,F1,0.328,0.07
10kb,ROS,Distance,AUC,0.909,0.023
10kb,ROS,Distance,AUPRC,0.47,0.04
10kb,RUS,OC,Sensitivity,0.69,0.075
10kb,RUS,OC,Specificity,0.66,0.035
10kb,RUS,OC,Accuracy,0.662,0.031
10kb,RUS,OC,Precision,0.154,0.022
10kb,RUS,OC,MCC,0.197,0.033
10kb,RUS,OC,F1,0.251,0.028
10kb,RUS,OC,AUC,0.738,0.043
10kb,RUS,OC,AUPRC,0.191,0.015
10kb,RUS,OP,Sensitivity,0.703,0.074
10kb,RUS,OP,Specificity,0.648,0.033
10kb,RUS,OP,Accuracy,0.653,0.028
10kb,RUS,OP,Precision,0.153,0.023
10kb,RUS,OP,MCC,0.197,0.03
10kb,RUS,OP,F1,0.25,0.03
10kb,RUS,OP,AUC,0.74,0.038
10kb,RUS,OP,AUPRC,0.198,0.02
10kb,RUS,Distance,Sensitivity,0.854,0.064
10kb,RUS,Distance,Specificity,0.715,0.034
10kb,RUS,Distance,Accuracy,0.726,0.034
10kb,RUS,Distance,Precision,0.212,0.022
10kb,RUS,Distance,MCC,0.33,0.043
10kb,RUS,Distance,F1,0.339,0.029
10kb,RUS,Distance,AUC,0.854,0.046
10kb,RUS,Distance,AUPRC,0.314,0.054
10kb,SMOTE,OC,Sensitivity,0.447,0.078
10kb,SMOTE,OC,Specificity,0.845,0.029
10kb,SMOTE,OC,Accuracy,0.811,0.027
10kb,SMOTE,OC,Precision,0.206,0.027
10kb,SMOTE,OC,MCC,0.207,0.031
10kb,SMOTE,OC,F1,0.279,0.025
10kb,SMOTE,OC,AUC,0.742,0.04
10kb,SMOTE,OC,AUPRC,0.209,0.021
10kb,SMOTE,OP,Sensitivity,0.49,0.072
10kb,SMOTE,OP,Specificity,0.817,0.035
10kb,SMOTE,OP,Accuracy,0.789,0.031
10kb,SMOTE,OP,Precision,0.195,0.029
10kb,SMOTE,OP,MCC,0.207,0.026
10kb,SMOTE,OP,F1,0.276,0.028
10kb,SMOTE,OP,AUC,0.743,0.037
10kb,SMOTE,OP,AUPRC,0.21,0.021
10kb,SMOTE,Distance,Sensitivity,0.817,0.046
10kb,SMOTE,Distance,Specificity,0.785,0.025
10kb,SMOTE,Distance,Accuracy,0.788,0.025
10kb,SMOTE,Distance,Precision,0.255,0.023
10kb,SMOTE,Distance,MCC,0.374,0.024
10kb,SMOTE,Distance,F1,0.388,0.024
10kb,SMOTE,Distance,AUC,0.876,0.025
10kb,SMOTE,Distance,AUPRC,0.353,0.03
25kb,None,OC,Sensitivity,0.016,0.016
25kb,None,OC,Specificity,0.997,0.003
25kb,None,OC,Accuracy,0.872,0.01
25kb,None,OC,Precision,0.421,0.273
25kb,None,OC,MCC,0.058,0.056
25kb,None,OC,F1,0.036,0.03
25kb,None,OC,AUC,0.668,0.036
25kb,None,OC,AUPRC,0.233,0.038
25kb,None,OP,Sensitivity,0.006,0.007
25kb,None,OP,Specificity,0.998,0.004
25kb,None,OP,Accuracy,0.872,0.012
