,,,Penalization Parameter,
Cell Line,Resolution,Predictor Type,Alpha,Lambda
GM12878,10 kb,OC,0,0
GM12878,10 kb,OP,0.090909091,0
GM12878,10 kb,Distance,0.02020202,0.101010101
GM12878,10 kb,OC,0.04040404,0
GM12878,10 kb,OP,0.95959596,0
GM12878,10 kb,Distance,0,0
GM12878,10 kb,OC,0.02020202,0.101010101
GM12878,10 kb,OP,0.080808081,0
GM12878,10 kb,Distance,0.03030303,0.202020202
GM12878,10 kb,OC,0,0
GM12878,10 kb,OP,0.393939394,0
GM12878,10 kb,Distance,0.02020202,0.101010101
GM12878,25 kb,OC,0.03030303,0.101010101
GM12878,25 kb,OP,0.292929293,0
GM12878,25 kb,Distance,0.02020202,0.202020202
GM12878,25 kb,OC,0.606060606,0
GM12878,25 kb,OP,0.949494949,0
GM12878,25 kb,Distance,0.95959596,0
GM12878,25 kb,OC,0.070707071,0.101010101
GM12878,25 kb,OP,0.080808081,0
GM12878,25 kb,Distance,0.050505051,0.303030303
GM12878,25 kb,OC,0,0
GM12878,25 kb,OP,0.464646465,0
GM12878,25 kb,Distance,0.03030303,0.202020202
GM12878,50 kb,OC,0,0.303030303
GM12878,50 kb,OP,0.272727273,0
GM12878,50 kb,Distance,0,0.606060606
GM12878,50 kb,OC,0,0
GM12878,50 kb,OP,0.97979798,0
GM12878,50 kb,Distance,0.353535354,0
GM12878,50 kb,OC,0,0.505050505
GM12878,50 kb,OP,0.666666667,0
GM12878,50 kb,Distance,0.070707071,0.505050505
GM12878,50 kb,OC,0.02020202,0
GM12878,50 kb,OP,0.98989899,0
GM12878,50 kb,Distance,0,0.202020202
GM12878,100 kb,OC,0,0.909090909
GM12878,100 kb,OP,0.252525253,0
GM12878,100 kb,Distance,0.232323232,0.101010101
GM12878,100 kb,OC,0.050505051,0
GM12878,100 kb,OP,1,0
GM12878,100 kb,Distance,0,0
GM12878,100 kb,OC,0.303030303,0.101010101
GM12878,100 kb,OP,0.333333333,0
GM12878,100 kb,Distance,0,2.626262626
GM12878,100 kb,OC,0,0.101010101
GM12878,100 kb,OP,0.323232323,0
GM12878,100 kb,Distance,0,0.707070707
K562,10 kb,OC,0,0
K562,10 kb,OP,0.242424242,0
K562,10 kb,Distance,0.01010101,0.101010101
K562,10 kb,OC,0.545454545,0
K562,10 kb,OP,1,0
K562,10 kb,Distance,0.606060606,0
K562,10 kb,OC,0,0
K562,10 kb,OP,0.161616162,0
K562,10 kb,Distance,0.070707071,0.101010101
K562,10 kb,OC,0.01010101,0
K562,10 kb,OP,0.727272727,0
K562,10 kb,Distance,0,0.101010101
K562,25 kb,OC,0,0.101010101
K562,25 kb,OP,0.141414141,0
K562,25 kb,Distance,0.04040404,0.101010101
K562,25 kb,OC,0.01010101,0
K562,25 kb,OP,0.96969697,0
K562,25 kb,Distance,0,0
K562,25 kb,OC,0.01010101,0.101010101
K562,25 kb,OP,0.171717172,0
K562,25 kb,Distance,0.131313131,0.101010101
K562,25 kb,OC,0,0
K562,25 kb,OP,0.757575758,0
K562,25 kb,Distance,0.03030303,0.101010101
K562,50 kb,OC,0.03030303,0.101010101
K562,50 kb,OP,0.171717172,0
K562,50 kb,Distance,0.090909091,0.101010101
K562,50 kb,OC,0.95959596,0
K562,50 kb,OP,1,0
K562,50 kb,Distance,0,0
K562,50 kb,OC,0.111111111,0.101010101
K562,50 kb,OP,0.232323232,0
K562,50 kb,Distance,0.252525253,0.101010101
K562,50 kb,OC,0,0
K562,50 kb,OP,0.858585859,0
K562,50 kb,Distance,0.080808081,0.101010101
K562,100 kb,OC,0.04040404,0.404040404
K562,100 kb,OP,0.303030303,0
K562,100 kb,Distance,0.191919192,0.101010101
K562,100 kb,OC,0.808080808,0
K562,100 kb,OP,1,0
K562,100 kb,Distance,0,0
K562,100 kb,OC,0.929292929,0.101010101
K562,100 kb,OP,0.686868687,0
K562,100 kb,Distance,0.02020202,1.01010101
K562,100 kb,OC,0.01010101,0
K562,100 kb,OP,1,0
K562,100 kb,Distance,0.070707071,0.101010101
