Cell Line,Resolution,Chromosome,Minimum,First Quartile,Median,Mean,Third Quartile,Maximum
GM12878,10 kb,1,120000,190000,280000,401970.3,500000,1770000
GM12878,10 kb,2,120000,200000,310000,442747.4,530000,2270000
GM12878,10 kb,3,120000,200000,310000,449230.8,582500,1940000
GM12878,10 kb,4,120000,210000,310000,432022,540000,3700000
GM12878,10 kb,5,120000,200000,320000,444409.9,560000,2750000
GM12878,10 kb,6,120000,200000,300000,424808.9,510000,2160000
GM12878,10 kb,7,120000,200000,295000,426479.8,550000,3280000
GM12878,10 kb,8,120000,210000,330000,464419.8,600000,2360000
GM12878,10 kb,9,120000,200000,290000,427801.2,510000,2840000
GM12878,10 kb,10,120000,190000,280000,411368.4,490000,1880000
GM12878,10 kb,11,120000,180000,280000,400218.4,490000,2590000
GM12878,10 kb,12,120000,195000,300000,416137.9,545000,1970000
GM12878,10 kb,13,120000,220000,330000,496431.7,640000,4290000
GM12878,10 kb,14,120000,200000,300000,453505.5,605000,3320000
GM12878,10 kb,15,120000,180000,300000,412824.4,530000,2120000
GM12878,10 kb,16,120000,200000,305000,476547.6,542500,3390000
GM12878,10 kb,17,120000,190000,265000,373441.6,460000,1920000
GM12878,10 kb,18,120000,210000,310000,458080.8,580000,1980000
GM12878,10 kb,19,120000,172500,240000,397477.5,465000,1890000
GM12878,10 kb,20,120000,180000,260000,393809.5,487500,1910000
GM12878,10 kb,21,120000,200000,295000,494444.4,545000,2590000
GM12878,10 kb,22,120000,180000,270000,405789.5,490000,2020000
GM12878,25 kb,1,300000,425000,575000,885071.1,1050000,4775000
GM12878,25 kb,2,300000,425000,625000,960817.3,1150000,5225000
GM12878,25 kb,3,300000,450000,625000,957876.7,1150000,6050000
GM12878,25 kb,4,300000,450000,625000,941516.5,1075000,5050000
GM12878,25 kb,5,300000,425000,600000,882131.1,1075000,4550000
GM12878,25 kb,6,300000,450000,600000,973684.2,1212500,4925000
GM12878,25 kb,7,300000,450000,675000,974561.4,1200000,6600000
GM12878,25 kb,8,300000,425000,625000,945158.1,1150000,4400000
GM12878,25 kb,9,300000,412500,600000,935301.5,1050000,5750000
GM12878,25 kb,10,300000,425000,600000,947159.1,1100000,5025000
GM12878,25 kb,11,300000,425000,600000,909166.7,975000,6425000
GM12878,25 kb,12,300000,450000,650000,995233.5,1225000,5650000
GM12878,25 kb,13,300000,475000,700000,984313.7,1125000,5450000
GM12878,25 kb,14,300000,450000,675000,1019871.8,1075000,6275000
GM12878,25 kb,15,300000,400000,600000,932164.6,1006250,5600000
GM12878,25 kb,16,300000,425000,600000,959375,1125000,5200000
GM12878,25 kb,17,300000,425000,575000,960333.3,1043750,7350000
GM12878,25 kb,18,300000,450000,600000,932986.1,1231250,4975000
GM12878,25 kb,19,300000,400000,600000,926546.4,1050000,6900000
GM12878,25 kb,20,300000,450000,575000,848301,937500,4375000
GM12878,25 kb,21,300000,425000,600000,957653.1,1125000,4825000
GM12878,25 kb,22,300000,450000,687500,1124305.6,1312500,7625000
GM12878,50 kb,1,600000,800000,1100000,1755154.6,1812500,12050000
GM12878,50 kb,2,600000,850000,1250000,1825229.4,2000000,10500000
GM12878,50 kb,3,600000,900000,1300000,1900777.2,2100000,19450000
GM12878,50 kb,4,600000,850000,1150000,1556104.7,1950000,7450000
GM12878,50 kb,5,600000,800000,1200000,1621604.9,2000000,7650000
GM12878,50 kb,6,600000,900000,1275000,1748051.9,2000000,10400000
GM12878,50 kb,7,600000,800000,1050000,1474013.2,1700000,6600000
GM12878,50 kb,8,600000,900000,1200000,1662598.4,1800000,8850000
GM12878,50 kb,9,600000,800000,1050000,1738000,1675000,13600000
GM12878,50 kb,10,600000,812500,1175000,1821818.2,2037500,11050000
GM12878,50 kb,11,600000,800000,1050000,1510714.3,1800000,6450000
GM12878,50 kb,12,600000,800000,1150000,1781250,2100000,7900000
GM12878,50 kb,13,600000,900000,1300000,1867741.9,1950000,8000000
GM12878,50 kb,14,600000,850000,1050000,1732222.2,1887500,10350000
GM12878,50 kb,15,600000,850000,1100000,1607142.9,1925000,5600000
GM12878,50 kb,16,600000,900000,1250000,1846093.8,2200000,8150000
GM12878,50 kb,17,600000,800000,1050000,1569117.6,1512500,8250000
GM12878,50 kb,18,600000,825000,1250000,1554477.6,1850000,6600000
GM12878,50 kb,19,600000,887500,1125000,1625000,1662500,6950000
GM12878,50 kb,20,600000,800000,1200000,1761764.7,2175000,7300000
GM12878,50 kb,21,600000,812500,1050000,1419230.8,1637500,4750000
GM12878,50 kb,22,650000,937500,1225000,1804687.5,2050000,7600000
GM12878,100 kb,1,1300000,1700000,2200000,3059770.1,3500000,12700000
GM12878,100 kb,2,1200000,1700000,2000000,2866336.6,3200000,13400000
GM12878,100 kb,3,1200000,1600000,1900000,2654255.3,3100000,19000000
GM12878,100 kb,4,1200000,1600000,2100000,2643283.6,3300000,8900000
GM12878,100 kb,5,1200000,1500000,2000000,2516438.4,2800000,7600000
GM12878,100 kb,6,1200000,1625000,1950000,2654285.7,3275000,10900000
GM12878,100 kb,7,1200000,1600000,2300000,4659701.5,3650000,82900000
GM12878,100 kb,8,1200000,1600000,2200000,2783871,3575000,8800000
GM12878,100 kb,9,1200000,1500000,2200000,2934090.9,3075000,11100000
GM12878,100 kb,10,1200000,1700000,2000000,3101886.8,3700000,11000000
GM12878,100 kb,11,1200000,1600000,2200000,5254717,3700000,56600000
GM12878,100 kb,12,1200000,1600000,2200000,2762264.2,3300000,7700000
GM12878,100 kb,13,1200000,1600000,2300000,2959523.8,4075000,11400000
GM12878,100 kb,14,1200000,1800000,2250000,3094444.4,3525000,10300000
GM12878,100 kb,15,1300000,1600000,2400000,2831034.5,3700000,7700000
GM12878,100 kb,16,1200000,1750000,2300000,2950000,3600000,8100000
GM12878,100 kb,17,1200000,1600000,2300000,2527272.7,3300000,5100000
GM12878,100 kb,18,1200000,1500000,1800000,2215625,2300000,6600000
GM12878,100 kb,19,1500000,1600000,1950000,3157142.9,2450000,13200000
GM12878,100 kb,20,1200000,1650000,2400000,2882608.7,3450000,7300000
GM12878,100 kb,21,1300000,1600000,1800000,2160000,2375000,4900000
GM12878,100 kb,22,1400000,1800000,2300000,2953846.2,3200000,7500000
K562,10 kb,1,120000,180000,255000,341636.1,420000,2550000
K562,10 kb,2,120000,190000,270000,370981.6,420000,3820000
K562,10 kb,3,120000,180000,260000,349818.2,430000,2320000
K562,10 kb,4,120000,200000,270000,385469.8,440000,2670000
K562,10 kb,5,120000,190000,290000,396902.7,450000,3220000
K562,10 kb,6,120000,200000,285000,387164.2,470000,2470000
K562,10 kb,7,120000,180000,280000,392816.9,495000,3290000
K562,10 kb,8,120000,190000,280000,400759.1,470000,3090000
K562,10 kb,10,120000,180000,260000,354858.2,430000,2160000
K562,10 kb,11,120000,180000,260000,343777.1,410000,1920000
K562,10 kb,12,120000,190000,280000,362288.4,470000,1490000
K562,10 kb,13,130000,190000,260000,371864.4,450000,1300000
K562,10 kb,14,120000,180000,250000,342568.3,440000,2030000
K562,10 kb,15,120000,180000,260000,343750,400000,2610000
K562,10 kb,16,120000,190000,260000,351683.2,430000,1880000
K562,10 kb,17,120000,180000,230000,302941.2,380000,1900000
K562,10 kb,18,120000,190000,280000,360575.5,410000,1760000
K562,10 kb,19,120000,160000,240000,316038.6,365000,1580000
K562,10 kb,20,120000,180000,250000,341118,420000,2650000
K562,10 kb,21,140000,190000,270000,400352.9,470000,1970000
K562,10 kb,22,120000,180000,220000,299026.5,380000,1290000
K562,25 kb,1,300000,400000,550000,773529.4,925000,3925000
K562,25 kb,2,300000,425000,575000,885734.1,1100000,4325000
K562,25 kb,3,300000,450000,575000,857947,1000000,3925000
K562,25 kb,4,300000,425000,575000,867004,1000000,3800000
K562,25 kb,5,300000,450000,650000,910057.5,1150000,3475000
K562,25 kb,6,300000,425000,600000,857397,1112500,3850000
K562,25 kb,7,300000,475000,650000,919847.3,1000000,3975000
K562,25 kb,8,300000,425000,600000,847401,1050000,3800000
K562,25 kb,9,300000,400000,525000,785493.8,968750,3175000
K562,25 kb,10,300000,450000,575000,810416.7,1000000,3850000
K562,25 kb,11,300000,425000,575000,787317.1,900000,3400000
K562,25 kb,12,300000,425000,600000,854035.9,1112500,4250000
K562,25 kb,13,300000,425000,637500,892008.2,1075000,4275000
K562,25 kb,14,300000,450000,625000,830578.5,1025000,4125000
K562,25 kb,15,300000,450000,600000,848479.7,1031250,3850000
K562,25 kb,16,300000,425000,575000,830496.5,1025000,3350000
K562,25 kb,17,300000,425000,575000,770736.4,900000,3625000
K562,25 kb,18,300000,400000,625000,910779.8,1025000,4400000
K562,25 kb,19,300000,400000,550000,757258.1,900000,2900000
K562,25 kb,20,300000,450000,600000,809895.8,950000,2675000
K562,25 kb,21,300000,425000,575000,908000,1162500,2975000
K562,25 kb,22,300000,450000,600000,809745.8,1025000,2800000
K562,50 kb,1,600000,850000,1150000,1617039.1,1850000,7350000
K562,50 kb,2,600000,850000,1200000,1717287.2,2000000,10600000
K562,50 kb,3,600000,850000,1150000,1682716,2000000,6450000
K562,50 kb,4,600000,900000,1200000,1917669.2,2250000,10450000
K562,50 kb,5,600000,850000,1200000,1472101.4,1787500,5000000
K562,50 kb,6,600000,900000,1200000,1577305,1800000,5200000
K562,50 kb,7,600000,750000,1050000,1536562.5,1800000,9600000
K562,50 kb,8,600000,850000,1050000,1506302.5,1750000,7600000
K562,50 kb,9,600000,862500,1200000,1612121.2,1750000,5750000
K562,50 kb,10,600000,900000,1200000,1559000,1700000,5450000
K562,50 kb,11,600000,850000,1100000,1658898.3,1850000,8900000
K562,50 kb,12,600000,850000,1150000,1516949.2,1800000,7450000
K562,50 kb,13,650000,862500,1150000,1688513.5,2037500,5750000
K562,50 kb,14,600000,850000,1100000,1534328.4,1825000,6350000
K562,50 kb,15,600000,900000,1200000,1625333.3,2025000,5450000
K562,50 kb,16,600000,837500,1100000,1705147.1,1800000,10000000
K562,50 kb,17,600000,850000,1350000,1629230.8,1850000,7600000
K562,50 kb,18,600000,900000,1250000,1566129,1925000,4400000
K562,50 kb,19,600000,775000,1000000,1437234,1575000,4950000
K562,50 kb,20,600000,750000,1100000,1403260.9,1900000,3750000
K562,50 kb,21,650000,900000,1200000,1591071.4,1850000,7150000
K562,50 kb,22,600000,925000,1200000,1759259.3,1925000,7600000
K562,100 kb,1,1200000,1600000,2100000,2970886.1,3500000,10900000
K562,100 kb,2,1200000,1600000,2200000,2958333.3,3750000,10700000
K562,100 kb,3,1200000,1600000,2200000,3006666.7,3850000,7400000
K562,100 kb,4,1200000,1625000,2150000,2753030.3,3000000,10000000
K562,100 kb,5,1200000,1600000,2100000,2643283.6,3200000,7800000
K562,100 kb,6,1200000,1500000,2000000,2652381,3400000,8900000
K562,100 kb,7,1200000,1700000,2200000,2710526.3,3300000,9600000
K562,100 kb,8,1200000,1550000,1900000,2502127.7,3000000,9600000
K562,100 kb,9,1200000,1500000,2200000,3146341.5,4700000,14200000
K562,100 kb,10,1200000,1625000,2100000,2895652.2,3425000,14000000
K562,100 kb,11,1300000,1600000,2400000,3381632.7,4100000,10500000
K562,100 kb,12,1200000,1500000,2100000,2749019.6,3100000,12400000
K562,100 kb,13,1200000,1700000,2100000,2981081.1,3600000,12600000
K562,100 kb,14,1300000,1675000,2200000,3215625,4025000,11600000
K562,100 kb,15,1200000,1550000,2000000,2958064.5,3100000,18500000
K562,100 kb,16,1200000,1675000,1900000,2742857.1,2350000,10000000
K562,100 kb,17,1200000,1800000,2600000,3303703.7,3950000,9500000
K562,100 kb,18,1200000,1625000,2150000,2706666.7,3225000,7600000
K562,100 kb,19,1200000,1575000,1850000,2337500,2625000,5800000
K562,100 kb,20,1200000,1700000,2600000,3652173.9,4400000,11100000
K562,100 kb,21,1200000,1700000,2100000,2800000,2600000,7800000
K562,100 kb,22,1300000,1475000,1900000,2525000,3625000,4900000
