Question 3: Will adding distance features improve performance?,,,
,MLR,,
Metric,Just Percent Overlaps,Just Distance,Both
TN,6721.12,5474.48,5983.92
FN,3774.04,1434.32,1641.68
FP,2809.88,4056.52,3547.08
TP,5786.96,8126.68,7919.32
Total,19092,19092,19092
Sensitivity,0.605,0.85,0.828
Specificity,0.705,0.574,0.628
Kappa,0.31,0.425,0.456
Accuracy,0.655,0.712,0.728
Precision,0.673,0.667,0.691
FPR,0.295,0.426,0.372
FNR,0.36,0.208,0.215
FOR,0.36,0.208,0.215
NPV,0.64,0.792,0.785
MCC,0.312,0.442,0.466
F1,0.637,0.747,0.753
AUC,0.655,0.712,0.728
