Question 3: Will adding distance features improve performance?,,,,,,
,MLR,,,LASSO,,
Metric,Just Percent Overlaps,Just Distance,Both,Just Percent Overlaps,Just Distance,Both
TN,6721.12,5474.48,5983.92,6645.32,5426.68,5426.68
FN,3774.04,1434.32,1641.68,3898.04,1388.44,1388.44
FP,2809.88,4056.52,3547.08,2885.68,4104.32,4104.32
TP,5786.96,8126.68,7919.32,5662.96,8172.56,8172.56
Total,19092,19092,19092,19092,19092,19092
Sensitivity,0.605,0.85,0.828,0.592,0.855,0.855
Specificity,0.705,0.574,0.628,0.697,0.569,0.569
Kappa,0.31,0.425,0.456,0.289,0.424,0.424
Accuracy,0.655,0.712,0.728,0.645,0.712,0.712
Precision,0.673,0.667,0.691,0.662,0.666,0.666
FPR,0.295,0.426,0.372,0.303,0.431,0.431
FNR,0.36,0.208,0.215,0.37,0.204,0.204
FOR,0.36,0.208,0.215,0.37,0.204,0.204
NPV,0.64,0.792,0.785,0.63,0.796,0.796
MCC,0.312,0.442,0.466,0.291,0.443,0.443
F1,0.637,0.747,0.753,0.625,0.748,0.748
AUC,0.655,0.712,0.728,0.703,0.79,0.79
