Question 1: Is class imbalance an issue?,,,
,,,
,,,
Metric,Unbalanced & Unfiltered,Unbalanced & Filtered,Balanced (random under-sampling) & Filtered
TN,151168,151185,6728
FN,9623,9637,3816
FP,82,65,2803
TP,46,32,5745
Total,160919,160919,19092
Sensitivity,0.005,0.003,0.601
Specificity,0.999,1,0.706
Kappa,0.008,0.005,0.307
Accuracy,0.94,0.94,0.653
Precision,0.359,0.33,0.672
FPR,0.001,0,0.294
FNR,0.06,0.06,0.362
FOR,0.06,0.06,0.362
NPV,0.94,0.94,0.638
MCC,0.036,0.028,0.308
F1,0.009,0.007,0.634
AUC,0.502,0.501,0.653
