Question 2: What balancing technique most improves performance?,,,,,,,,,,,,
,MLR,,,,,,LASSO,,,,,
,Unbalanced,SMOTE,,,,Random Undersampling (25 Iterations),Unbalanced,SMOTE,,,,Random Undersampling (25 Iterations)
Metric,,100/200,200/200,300/200,400/200,,,100/200,200/200,300/200,400/200,
TN,151185,106083,120378,125655,128387,6721.12,151250,104790,124343,131067,134362,6645.32
FN,9637,3656,4878,5419,5681,3774.04,9669,3770,5472,6171,6551,3898.04
FP,65,45289,30994,25717,22985,2809.88,0,46582,27029,20305,17010,2885.68
TP,32,5890,4668,4127,3865,5786.96,0,5776,4074,3375,2995,5662.96
Total,160919,160918,160918,160918,160918,19092,160919,160918,160918,160918,160918,19092
Sensitivity,0.003,0.617,0.489,0.432,0.405,0.605,0,0.605,0.427,0.354,0.314,0.592
Specificity,1,0.701,0.795,0.83,0.848,0.705,1,0.692,0.821,0.866,0.888,0.697
Kappa,0.005,0.104,0.125,0.131,0.137,0.31,0,0.096,0.121,0.13,0.133,0.289
Accuracy,0.94,0.696,0.777,0.807,0.822,0.655,0.94,0.687,0.798,0.835,0.854,0.645
Precision,0.33,0.115,0.131,0.138,0.144,0.673,NaN,0.11,0.131,0.143,0.15,0.662
FPR,0,0.299,0.205,0.17,0.152,0.295,0,0.308,0.179,0.134,0.112,0.303
FNR,0.06,0.033,0.039,0.041,0.042,0.36,0.06,0.035,0.042,0.045,0.046,0.37
FOR,0.06,0.033,0.039,0.041,0.042,0.36,0.06,0.035,0.042,0.045,0.046,0.37
NPV,0.94,0.967,0.961,0.959,0.958,0.64,0.94,0.965,0.958,0.955,0.954,0.63
MCC,0.028,0.161,0.162,0.16,0.16,0.312,NaN,0.15,0.148,0.146,0.144,0.291
F1,0.007,0.194,0.207,0.21,0.212,0.637,NaN,0.187,0.2,0.203,0.203,0.625
AUC,0.501,0.659,0.642,0.631,0.627,0.655,0.69,0.706,0.704,0.704,0.703,0.703
