Question 4: Will any normalization technique improve performance?,,,,
,,,,
,MLR,,,
Metric,No Transformation,Log2 Transformation,Inverse Hyperbolic Sine,Inverse Normal
TN,5983.92,6745.56,6754.2,6694.64
FN,1641.68,2240.4,2230.16,2145.08
FP,3547.08,2817.56,2808.92,2868.48
TP,7919.32,7288.48,7298.72,7383.8
Total,19092,19092,19092,19092
Sensitivity,0.828,0.765,0.766,0.775
Specificity,0.628,0.705,0.706,0.7
Kappa,0.456,0.47,0.472,0.475
Accuracy,0.728,0.735,0.736,0.737
Precision,0.691,0.721,0.722,0.72
FPR,0.372,0.295,0.294,0.3
FNR,0.215,0.249,0.248,0.243
FOR,0.215,0.249,0.248,0.243
NPV,0.785,0.751,0.752,0.757
MCC,0.466,0.471,0.473,0.476
F1,0.753,0.742,0.743,0.747
AUC,0.728,0.735,0.736,0.737
