Standardized Coefficients from MLR using our Pipeline,,,,
Feature,Estimate,sigma,standpred,absstandpred
Gm12878-Insulator_dist,-0.23364718,2.124314949,-0.496340197,0.496340197
Gm12878-CTCF_dist,-0.15436313,2.093897981,-0.323220647,0.323220647
Gm12878-DNase_dist,-0.111444572,2.826700974,-0.315020481,0.315020481
Gm12878-WeakTxn_dist,-0.088418511,3.20075374,-0.283005879,0.283005879
Gm12878-H3k9ac_dist,-0.057283096,2.850833538,-0.163304571,0.163304571
gain_loss_count,-0.103199647,1.431810149,-0.147762303,0.147762303
Gm12878-WeakTxn_count,-0.2449296,0.58413552,-0.143072079,0.143072079
Gm12878-TSS_dist,-0.050404782,2.752402237,-0.138734235,0.138734235
Gm12878-H2az_dist,-0.048543218,2.77136102,-0.134530781,0.134530781
Gm12878-ActivePromoter_dist,-0.052117941,2.565995168,-0.133734384,0.133734384
Gm12878-Heterochromlo_dist,-0.062694757,2.08201994,-0.130531734,0.130531734
Gm12878-TxnElongation_dist,-0.041663524,2.961117031,-0.123370571,0.123370571
Gm12878-H3k36me3_count,0.171254018,0.595452812,0.101973686,0.101973686
Gm12878-R_count,-0.059886561,1.660494564,-0.099441309,0.099441309
Gm12878-H3k36me3_dist,0.031724119,2.84803572,0.090351423,0.090351423
Gm12878-Insulator_count,-0.312868803,0.262923807,-0.082260657,0.082260657
Gm12878-Heterochromlo_count,-0.150880222,0.527931641,-0.079654443,0.079654443
Gm12878-WeakPromoter_dist,-0.028560948,2.671657983,-0.076305086,0.076305086
Gm12878-H3k79me2_dist,0.025619989,2.750983035,0.070480154,0.070480154
Gm12878-WeakEnhancer_dist,0.022388865,3.029175427,0.067819799,0.067819799
duplication_count,-0.103040212,0.588044777,-0.060592258,0.060592258
Gm12878-Repressed_dist,-0.021895058,2.699535803,-0.059106494,0.059106494
Gm12878-T_count,0.035211678,1.668805359,0.058761436,0.058761436
Gm12878-WE_dist,0.022021143,2.652119715,0.058402707,0.058402707
Gm12878-PF_dist,-0.022148318,2.587610073,-0.057311212,0.057311212
GERP_dist,0.024430548,2.315052698,0.056558006,0.056558006
