Number,Metric,Log/Std,Log/Un-Std,No Log/Std,No Log/Un-Std,Inv. Hyper-Sine/Std,Inv. Hyper-Sine/No Std
1,TN,151113,151102,151224,151353,151180,151183
2,FN,9495,9434,9586,9566,9419,9363
3,FP,217,263,72,0,219,263
4,TP,94,120,37,0,101,110
5,Total,160919,160919,160919,160919,160919,160919
6,Sensitivity,0.01,0.013,0.004,0,0.011,0.012
7,Specificity,0.999,0.998,1,1,0.999,0.998
8,Kappa,0.015,0.02,0.006,0,0.017,0.018
9,Accuracy,0.94,0.94,0.94,0.941,0.94,0.94
10,Precision,0.302,0.313,0.339,,0.316,0.295
11,FPR,0.001,0.002,0,0,0.001,0.002
12,FNR,0.059,0.059,0.06,0.059,0.059,0.058
13,FOR,0.059,0.059,0.06,0.059,0.059,0.058
14,NPV,0.941,0.941,0.94,0.941,0.941,0.942
15,MCC,0.045,0.052,0.031,,0.049,0.048
16,F1,0.019,0.024,0.008,,0.021,0.022
17,AUC,0.806,0.809,0.792,0.791,0.804,0.808
