Number,Metric,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22
1,TN,638.7,568,443.8,345.4,397,422,358.1,319.7,273.7,330.5,366,333.1,189.9,203.4,232.8,181,261,154.7,202.8,175.3,75.8,104.5
2,FN,174.7,155.1,103.9,109.2,89.4,148.2,107.4,74,66.5,96.8,96.4,174.3,73.9,42.6,64.5,53.2,89.5,68.1,88.9,70.5,14.4,73
3,FP,288.9,213.1,200.3,135.2,150.6,172.8,136.2,125.2,124.8,145,159.1,197.4,76.7,117.3,106.6,100,157.7,81.2,102.3,83.2,24.7,70.7
4,TP,747.7,627.8,548,372.2,452,450,387.3,368.1,327,378.7,421.5,354.2,199.5,263.7,265.1,229.8,327.8,179,220,204,87.1,108.8
5,Total,1850,1564,1296,962,1089,1193,989,887,792,951,1043,1059,540,627,669,564,836,483,614,533,202,357
6,Sensitivity,0.811,0.802,0.841,0.773,0.835,0.752,0.783,0.833,0.831,0.797,0.814,0.67,0.73,0.861,0.804,0.812,0.786,0.724,0.712,0.743,0.86,0.599
7,Specificity,0.689,0.727,0.689,0.719,0.725,0.71,0.725,0.719,0.687,0.696,0.697,0.628,0.713,0.635,0.686,0.644,0.624,0.656,0.665,0.679,0.756,0.596
8,Kappa,0.499,0.529,0.53,0.492,0.559,0.462,0.507,0.551,0.517,0.492,0.51,0.298,0.442,0.493,0.489,0.456,0.409,0.38,0.377,0.422,0.613,0.195
9,Accuracy,0.749,0.765,0.765,0.746,0.78,0.731,0.754,0.775,0.758,0.746,0.755,0.649,0.721,0.745,0.744,0.728,0.704,0.691,0.689,0.712,0.806,0.597
10,Precision,0.721,0.747,0.732,0.734,0.75,0.723,0.74,0.747,0.724,0.724,0.726,0.642,0.723,0.693,0.714,0.698,0.676,0.688,0.683,0.71,0.781,0.607
11,FPR,0.311,0.273,0.311,0.281,0.275,0.29,0.275,0.281,0.313,0.304,0.303,0.372,0.287,0.365,0.314,0.356,0.376,0.344,0.335,0.321,0.244,0.404
12,FNR,0.215,0.214,0.19,0.24,0.183,0.259,0.23,0.188,0.195,0.225,0.208,0.343,0.279,0.172,0.216,0.227,0.255,0.306,0.304,0.286,0.157,0.411
13,FOR,0.215,0.214,0.19,0.24,0.183,0.259,0.23,0.188,0.195,0.225,0.208,0.343,0.279,0.172,0.216,0.227,0.255,0.306,0.304,0.286,0.157,0.411
14,NPV,0.785,0.786,0.81,0.76,0.817,0.741,0.77,0.812,0.805,0.775,0.792,0.657,0.721,0.828,0.784,0.773,0.745,0.694,0.696,0.714,0.843,0.589
15,MCC,0.503,0.531,0.536,0.493,0.563,0.463,0.509,0.555,0.524,0.496,0.515,0.298,0.443,0.509,0.494,0.464,0.415,0.381,0.378,0.423,0.62,0.196
16,F1,0.763,0.773,0.783,0.753,0.79,0.737,0.761,0.787,0.774,0.758,0.767,0.656,0.726,0.767,0.756,0.75,0.726,0.705,0.697,0.726,0.816,0.602
17,AUC,0.827,0.843,0.831,0.82,0.856,0.802,0.826,0.848,0.834,0.823,0.824,0.706,0.792,0.819,0.815,0.802,0.768,0.761,0.764,0.784,0.864,0.638
