GM12878,,,
List of Non-Transcription Factor Binding Site Genomic Elements,,,
Genomic Element*,Frequency Ratio,Percent Uniqueness,Near-Zero Variance
Gm12878-ActivePromoter_dist,1.243243243,58.1175102,FALSE
Gm12878-ActivePromoter_count,36.78386983,0.001118577,TRUE
Gm12878-CTCF_dist,1.023877746,9.779155698,FALSE
Gm12878-CTCF_count,9.605516139,0.001305006,FALSE
Gm12878-DNase_dist,1.058823529,13.43801967,FALSE
Gm12878-DNase_count,7.606960259,0.002982871,FALSE
Gm12878-E_dist,1.05625,49.94239331,FALSE
Gm12878-E_count,22.60154486,0.001677865,TRUE
Gm12878-H2az_dist,1.038461538,35.60298735,FALSE
Gm12878-H2az_count,5.999889341,0.002237153,FALSE
Gm12878-H3k27ac_dist,1.054054054,44.81893974,FALSE
Gm12878-H3k27ac_count,10.08734555,0.002050724,FALSE
Gm12878-H3k27me3_dist,1.045454545,50.217936,FALSE
Gm12878-H3k27me3_count,2.369305746,0.001864294,FALSE
Gm12878-H3k36me3_dist,1.047619048,65.76559109,FALSE
Gm12878-H3k36me3_count,4.197960841,0.002423583,FALSE
Gm12878-H3k4me1_dist,1.087719298,38.86792594,FALSE
Gm12878-H3k4me1_count,5.744348602,0.002423583,FALSE
Gm12878-H3k4me2_dist,1.133333333,40.22326788,FALSE
Gm12878-H3k4me2_count,7.777251994,0.002423583,FALSE
Gm12878-H3k4me3_dist,1.026315789,41.95314656,FALSE
Gm12878-H3k4me3_count,8.80954174,0.002237153,FALSE
Gm12878-H3k79me2_dist,1.043478261,65.80399556,FALSE
Gm12878-H3k79me2_count,7.842644102,0.002423583,FALSE
Gm12878-H3k9ac_dist,1.035714286,55.57554493,FALSE
Gm12878-H3k9ac_count,13.22400433,0.002237153,FALSE
Gm12878-H3k9me3_dist,1.022222222,31.99967934,FALSE
Gm12878-H3k9me3_count,3.455680497,0.002610012,FALSE
Gm12878-H4k20me1_dist,1.105263158,61.4724942,FALSE
Gm12878-H4k20me1_count,2.644895096,0.002050724,FALSE
Gm12878-Heterochromlo_dist,1.236486486,15.92983542,FALSE
Gm12878-Heterochromlo_count,3.20015959,0.001864294,FALSE
Gm12878-Insulator_dist,1,28.0939828,FALSE
Gm12878-Insulator_count,16.32034744,0.000932147,FALSE
Gm12878-PF_dist,1.164835165,52.75393553,FALSE
Gm12878-PF_count,34.04488629,0.001864294,TRUE
Gm12878-PoisedPromoter_dist,1.0625,68.47851214,FALSE
Gm12878-PoisedPromoter_count,108.9501334,0.000932147,TRUE
Gm12878-R_dist,1.038655462,5.763652227,FALSE
Gm12878-R_count,1.351381516,0.002610012,FALSE
Gm12878-RepetitiveCNV_dist,1.038461538,54.41837747,FALSE
Gm12878-RepetitiveCNV_count,84.67765158,0.001491435,TRUE
Gm12878-Repressed_dist,1.075471698,50.30108353,FALSE
Gm12878-Repressed_count,14.65122776,0.000932147,FALSE
Gm12878-StrongEnhancer_dist,1.126315789,53.19204468,FALSE
