Question 6: Does variable reduction improve model performance?,,,,,,,,,
,,In Loop,,,,Out Loop,,,
Metric,MLR ,MLR with LASSO,MLR with Elastic-Net,Forward Selection,Backward Selection,MLR with LASSO,MLR with Elastic-Net,Forward Selection,Backward Selection
TN,6694.64,6625.36,6667.88,,,6634.4,6673.96,,
FN,2145.08,2136.48,2142.4,,,2157.96,2150.12,,
FP,2868.48,2905.64,2863.12,,,2896.6,2857.04,,
TP,7383.8,7424.52,7418.6,,,7403.04,7410.88,,
Total,19092,19092,19092,,,19092,19092,,
Sensitivity,0.775,0.777,0.776,,,0.774,0.775,,
Specificity,0.7,0.695,0.7,,,0.696,0.7,,
Kappa,0.475,0.472,0.476,,,0.47,0.475,,
Accuracy,0.737,0.736,0.738,,,0.735,0.738,,
Precision,0.72,0.719,0.722,,,0.719,0.722,,
FPR,0.3,0.305,0.3,,,0.304,0.3,,
FNR,0.243,0.244,0.243,,,0.245,0.244,,
FOR,0.243,0.244,0.243,,,0.245,0.244,,
NPV,0.757,0.756,0.757,,,0.755,0.756,,
MCC,0.476,0.473,0.477,,,0.472,0.477,,
F1,0.747,0.747,0.748,,,0.746,0.747,,
AUC,0.737,0.736,0.738,,,0.735,0.738,,
