List of Genomic Elements,,,
Genomic Class,Element,Description,Source
Genomic Variants,Complex,Regions that are highly non-repetitive,http://dgv.tcag.ca/dgv/app/downloads?ref=GRCh37/hg19
,Deletion,Regions that are missing nucleotides relative to the reference genome ,http://dgv.tcag.ca/dgv/app/downloads?ref=GRCh37/hg20
,Duplication,Regions that are duplicated relative to the reference genome,http://dgv.tcag.ca/dgv/app/downloads?ref=GRCh37/hg21
,Gain Loss,Regions that have experienced either gains or losses of genetic material relative to the reference genome,http://dgv.tcag.ca/dgv/app/downloads?ref=GRCh37/hg22
,Insertion,Regions in which a segment of a chromosome is reversed end to end,http://dgv.tcag.ca/dgv/app/downloads?ref=GRCh37/hg23
,Inversion,"Regions where additional nucleotides have been inserted in a DNA sequence, relative to the reference genome",http://dgv.tcag.ca/dgv/app/downloads?ref=GRCh37/hg24
,Mobile Element Insertion,"Regions that can change its position within a genome, sometimes creating or reversing mutations",http://dgv.tcag.ca/dgv/app/downloads?ref=GRCh37/hg25
,Novel Sequence Insertion,,http://dgv.tcag.ca/dgv/app/downloads?ref=GRCh37/hg26
,Sequence Alteration,Regions where an insertion of a sequence into the donor genome where no subsequence with high similarity to the inserted sequence exists in the reference genome,http://dgv.tcag.ca/dgv/app/downloads?ref=GRCh37/hg27
,Tandem Duplication,Regions where duplication of exons within the same gene to give rise to the subsequent exon,http://dgv.tcag.ca/dgv/app/downloads?ref=GRCh37/hg28
Evolutionary Constrained Sites,GERP,Regions of constrained elements where there exists a deficit of substitution events,http://mendel.stanford.edu/SidowLab/downloads/gerp/index.html
Ultra-Conserved Non-coding Elements,UCNE,Regions of ultra-conserved non-coding elements,https://ccg.vital-it.ch/
Variably Methylated Regions,VMR,Regions with different DNA methylation status relative to a reference genome ,https://epigenome.wustl.edu/methylomes/vmr.php
Nested Repeats,LINE,identical sequences of DNA that repeat hundreds or thousands of times found at either end of retrotransposons or proviral DNA formed by reverse transcription of retroviral RNA,http://genome.ucsc.edu/ENCODE/
,LTR,Long terminal repetitive regions,http://genome.ucsc.edu/ENCODE/
,SINE,Short interspersed nuclear elements,http://genome.ucsc.edu/ENCODE/
Chromatin State Segmentation ,Active Promotor,region of DNA that initiates transcription of a particular gene,hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmGm12878HMM.bed.gz
