,,LASSO,,,Elastic-Net,,
,Balancing Technique,OC,OP ,Distance,OC,OP ,Distance
Accuracy,None,0.929,0.927,0.93,0.93,0.93,0.931
,RUS,0.706,0.633,0.723,0.692,0.679,0.729
,ROS,0.81,0.718,0.933,0.907,0.922,0.934
,SMOTE,0.768,0.648,0.764,0.812,0.768,0.775
AUC,None,0.669,0.577,0.888,0.734,0.737,0.902
,RUS,0.7,0.669,0.853,0.74,0.738,0.862
,ROS,0.673,0.651,0.901,0.701,0.711,0.912
,SMOTE,0.694,0.668,0.858,0.741,0.741,0.867
F1-Score,None,0.018,0.03,0.031,0.004,0.002,0.055
,RUS,0.218,0.197,0.297,0.229,0.225,0.303
,ROS,0.156,0.181,0.203,0.089,0.063,0.219
,SMOTE,0.217,0.192,0.318,0.263,0.252,0.332
MCC,None,0.038,0.04,0.081,0.044,0.01,0.124
,RUS,0.166,0.143,0.3,0.189,0.186,0.309
,ROS,0.073,0.105,0.252,0.05,0.059,0.268
,SMOTE,0.153,0.132,0.313,0.209,0.205,0.331
